NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
wilfred ndidi,20,9.0,MF,33,33,2898,0,3,0,0,8,4,2.1,0.6,0,45,9,0,78,89
pascal groß,26,15.0,"FW,MF",38,35,2928,7,8,1,0,2,0,3.3,8.3,0,46,10,0,164,80
beni baningime,18,8.0,MF,8,1,198,0,0,0,0,1,0,0.0,0.0,0,2,0,0,7,0
marcos alonso,26,5.0,"DF,MF",33,33,2855,7,2,0,0,6,0,4.1,2.8,0,30,13,0,165,161
reece oxford,18,13.0,MF,1,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
sergio aguero,29,1.0,FW,25,22,1963,21,6,4,0,2,0,16.2,5.6,0,12,13,0,169,201
julian speroni,38,11.0,GK,11,11,990,0,0,0,0,0,0,0.0,0.0,0,14,2,30,36,1
jonjoe kenny,20,8.0,DF,19,17,1590,0,1,0,0,2,0,0.1,1.5,0,31,5,0,50,19
jack cork,28,7.0,MF,38,38,3420,2,1,0,0,7,0,2.2,1.1,0,39,12,0,100,87
miguel britos,32,14.0,DF,12,10,797,1,0,0,0,3,1,0.8,0.4,0,16,2,0,22,3
wes morgan,33,9.0,DF,32,32,2817,0,0,0,0,4,0,1.6,0.4,0,52,5,0,61,76
jose holebas,33,14.0,DF,28,26,2382,0,4,0,0,7,0,0.6,3.2,0,47,6,0,72,93
tom ince,25,16.0,"MF,FW",33,27,2452,2,0,0,0,0,0,6.4,1.4,0,39,7,0,82,0
jamaal lascelles,23,10.0,DF,33,32,2928,3,0,0,0,5,0,1.1,0.7,0,31,9,0,116,95
ederson,23,1.0,GK,36,36,3194,0,0,0,0,1,0,0.0,0.1,0,26,16,58,158,169
adam smith,26,12.0,"DF,MF",27,22,2071,1,3,0,0,6,0,0.5,1.6,0,38,2,0,56,70
jesse lingard,24,2.0,"MF,FW",33,20,1817,8,5,0,0,2,0,7.1,2.8,0,18,9,0,128,78
salomon rondon,27,20.0,FW,36,32,2767,7,3,0,0,4,0,7.0,2.8,0,48,6,0,103,148
anthony knockaert,25,15.0,"MF,FW",33,27,2421,3,1,0,0,4,1,4.1,3.2,0,29,11,0,88,74
beram kayal,29,15.0,MF,19,8,745,0,0,0,0,2,0,0.2,0.5,0,14,1,0,25,36
andrew surman,30,12.0,MF,25,20,1856,2,5,0,0,2,0,1.2,1.0,0,29,5,0,82,36
andre gray,26,14.0,FW,31,16,1498,5,2,0,0,1,0,6.7,2.1,0,30,5,0,79,83
hugo lloris,30,3.0,GK,36,36,3240,0,0,0,0,1,0,0.0,0.0,0,35,15,87,144,145
michael keane,24,8.0,DF,30,29,2560,0,1,0,0,3,0,1.1,0.5,0,46,7,0,81,129
charlie daniels,30,12.0,"DF,MF",35,34,3002,1,3,0,0,0,0,0.6,2.2,0,50,6,0,94,44
mesut ozil,28,6.0,"MF,FW",26,24,2163,4,8,0,0,4,0,4.4,8.7,0,36,8,0,112,89
tom davies,19,8.0,MF,33,20,1900,2,1,0,0,7,0,1.5,0.6,0,24,6,0,66,26
cheikhou kouyate,27,13.0,MF,33,32,2799,2,3,0,0,5,0,2.7,1.1,0,56,7,0,86,67
kyle walker,27,1.0,DF,128,128,11140,0,24,0,0,12,8,2.4,18.4,2,52,32,0,302,150
javier hernandez,29,13.0,FW,28,16,1548,8,0,0,0,3,0,5.0,1.3,0,36,6,0,93,86
pedro,30,5.0,"MF,FW",248,136,12184,32,16,0,0,8,0,24.0,10.4,0,172,52,0,540,118
kyle walker-peters,20,3.0,DF,12,8,756,0,8,0,0,0,0,0.0,4.8,2,52,32,0,302,150
dwight gayle,26,10.0,FW,35,23,1958,6,3,0,0,3,0,8.3,2.0,0,31,6,0,94,0
lewis dunk,25,15.0,DF,38,38,3420,1,1,0,0,7,0,2.7,1.2,4,54,10,0,97,91
marko arnautovic,28,13.0,"FW,MF",31,28,2313,11,6,0,0,5,1,8.6,4.3,0,50,7,0,144,117
aaron cresswell,27,13.0,DF,36,35,3069,1,3,0,0,7,0,0.8,3.2,0,60,10,0,118,34
harry arter,27,12.0,MF,13,11,960,1,0,0,0,4,0,0.3,0.2,0,13,3,0,27,48
chris lowe,28,16.0,DF,23,19,1588,0,0,0,0,1,0,0.4,0.4,0,26,7,0,60,49
marc pugh,30,12.0,"MF,FW",20,11,985,0,0,0,0,2,0,1.3,0.5,0,17,5,0,32,0
callum hudson-odoi,16,5.0,"FW,DF",2,0,29,0,0,0,0,0,0,0.1,0.0,0,1,0,0,2,18
philip billing,21,16.0,MF,16,8,764,0,0,0,0,3,0,0.2,0.5,0,11,3,0,22,63
stefano okaka,27,14.0,FW,15,3,453,1,1,0,0,2,0,1.8,0.4,0,9,2,0,24,1
martin kelly,27,11.0,DF,15,12,1195,0,0,0,0,1,0,0.4,0.1,1,21,4,0,34,26
